Epoch,price
2019-01-02,100.0
2019-01-03,100.0
2019-01-04,100.0
2019-01-07,100.0
2019-01-08,100.0
2019-01-09,100.0
2019-01-10,100.0
2019-01-11,100.0
2019-01-14,100.0
2019-01-15,100.0
2019-01-16,100.0
2019-01-17,100.0
2019-01-18,100.0
2019-01-22,100.0
2019-01-23,100.0
2019-01-24,100.0
2019-01-25,99.971
2019-01-28,100.1692144795868
2019-01-29,100.24977181620854
2019-01-30,100.30448097058647
2019-01-31,100.34049259768712
2019-02-01,100.39548839151091
2019-02-04,100.53274200519367
2019-02-05,100.59434830175438
2019-02-06,100.68658847298386
2019-02-07,100.78294341125978
2019-02-08,100.89461947856758
2019-02-11,101.2964457319262
2019-02-12,101.395983563386
2019-02-13,101.48165324580114
2019-02-14,101.58256083490349
2019-02-15,101.68807235232353
2019-02-19,102.16148521821896
2019-02-20,102.32979959174702
2019-02-21,102.44001016229534
2019-02-22,102.54149133081991
2019-02-25,102.67212514543907
2019-02-26,102.7417507261716
2019-02-27,102.78093255419236
2019-02-28,102.83209185065492
2019-03-01,102.92243927717708
2019-03-04,103.17621472041473
2019-03-05,103.28121532267724
2019-03-06,103.38842454706662
2019-03-07,103.50229695941053
2019-03-08,103.60344904821892
2019-03-11,103.82214937957484
2019-03-12,103.90903784212382
2019-03-13,103.96498280314594
2019-03-14,104.01738991782328
2019-03-15,104.07509125621463
2019-03-18,104.26725515363616
2019-03-19,104.35371607767459
2019-03-20,104.42270722550376
2019-03-21,104.45473177698076
2019-03-22,104.51354985997669
2019-03-25,104.72712241592887
2019-03-26,104.7053724008049
2019-03-27,104.72296068919442
2019-03-28,104.81671675493406
2019-03-29,104.912094546394
2019-04-01,105.1133730234514
2019-04-02,105.24087498051296
2019-04-03,105.41790149607098
2019-04-04,105.56443291751411
2019-04-05,105.75125028803842
2019-04-08,106.41887927125076
2019-04-09,106.59094668235814
2019-04-10,106.76029662704798
2019-04-11,106.87684336894935
2019-04-12,106.97577109755865
2019-04-15,107.22767442785823
2019-04-16,107.30804341158606
2019-04-17,107.41828830494065
2019-04-18,107.53813878457798
2019-04-22,107.93605730148448
2019-04-23,108.02548589867891
2019-04-24,108.08148798185695
2019-04-25,108.13366271822625
2019-04-26,108.13909908960014
2019-04-29,108.05423077177832
2019-04-30,108.00622298977115
2019-05-01,107.98325422855497
2019-05-02,107.97616289065115
2019-05-03,108.00207273556231
2019-05-06,108.33293518613839
2019-05-07,108.4523998551542
2019-05-08,108.507020749942
2019-05-09,108.48329100398557
2019-05-10,108.3259532858895
2019-05-13,108.50734971471412
2019-05-14,108.76221949176038
2019-05-15,109.0167711244085
2019-05-16,109.34324018810536
2019-05-17,109.60272997788041
2019-05-20,110.18008475983842
2019-05-21,110.43879065119069
2019-05-22,110.65074053498007
2019-05-23,110.79659717979176
2019-05-24,110.93837370332923
2019-05-28,112.48167750473641
2019-05-29,112.84424074962021
2019-05-30,113.18088681302004
2019-05-31,113.4149982523559
2019-06-03,114.12385351707314
2019-06-04,114.25959312062426
2019-06-05,114.35959961319817
2019-06-06,114.46060853233189
2019-06-07,114.56163108815491
2019-06-10,114.84104226757232
2019-06-11,114.9433196135341
2019-06-12,115.04561149838975
2019-06-13,115.15578429252969
2019-06-14,115.26529315538536
2019-06-17,116.15458190982604
2019-06-18,116.45184815235466
2019-06-19,116.76864643338651
2019-06-20,117.06072082625202
2019-06-21,117.34432745564021
2019-06-24,119.30730031226042
2019-06-25,119.68400229043901
2019-06-26,120.00209293289403
2019-06-27,120.55608508096343
2019-06-28,121.03056800238147
2019-07-01,121.65642258009612
2019-07-02,121.83264860881008
2019-07-03,121.9662162502708
2019-07-05,122.2116544610419
2019-07-08,122.64799649828535
2019-07-09,122.91467119592919
2019-07-10,123.31560575847745
2019-07-11,123.50989772237206
2019-07-12,123.60955587875509
2019-07-15,123.8211246884883
2019-07-16,123.9111602455637
2019-07-17,123.93383420289025
2019-07-18,123.99436647892601
2019-07-19,124.10372158677119
2019-07-22,124.44617058640146
2019-07-23,124.56086184323034
2019-07-24,124.66900972786219
2019-07-25,124.76473954476866
2019-07-26,124.86470122036366
2019-07-29,125.18396253706183
2019-07-30,125.2966618341001
2019-07-31,125.41531495050637
2019-08-01,125.58202719981875
2019-08-02,125.74732018387189
2019-08-05,126.40457379878276
2019-08-06,126.80605240548024
2019-08-07,127.20171175643256
2019-08-08,127.62333329433504
2019-08-09,128.0192774973969
2019-08-12,128.69385013444693
2019-08-13,128.91829697914955
2019-08-14,129.1154595555879
2019-08-15,129.22505921277272
2019-08-16,129.29821371177394
2019-08-19,129.57746469279837
2019-08-20,129.70332624167574
2019-08-21,129.82056724859996
2019-08-22,129.91544618837557
2019-08-23,130.02464954759853
2019-08-26,130.3846094920246
2019-08-27,130.52786456275152
2019-08-28,130.65686818703432
2019-08-29,130.74503431798848
2019-08-30,130.83330783390016
2019-09-03,131.31650844797525
2019-09-04,131.51765601680287
2019-09-05,131.69804552023368
2019-09-06,131.88989403634716
2019-09-09,132.41688260691097
2019-09-10,132.58657696360584
2019-09-11,132.74583188886083
2019-09-12,132.9105956462196
2019-09-13,133.12164355346943
2019-09-16,133.7953616377553
2019-09-17,133.98093025382863
2019-09-18,134.16841238413284
2019-09-19,134.32942025099385
2019-09-20,134.5194575432359
2019-09-23,134.98429729714704
2019-09-24,135.1033699648573
2019-09-25,135.0965520848992
2019-09-26,135.20992906295405
2019-09-27,135.31280281806588
2019-09-30,135.4228028114347
2019-10-01,135.49928500122604
2019-10-02,135.56813054119957
